book_name,author,grade,people,ISBN,定价
北方大道,作者不详, 7.9 ,1351, 9787549596782, 38
游隼,[英] J.A.贝克, 9.5 ,282, 9787553655413, 48.00元
The Peregrine,J. A. Baker,  ,评价人数不足, 9780008138318
The Peregrine,J. A. Baker,  ,评价人数不足, 9780007395903, USD 19.95
The Peregrine,"Baker, J. A.",  ,评价人数不足, 9781590171332, CDN$ 18.95
南方高速,金灿, 8.9 ,678, 9787544290678, 68.00元
当自然赋予科技灵感,[法] 玛特・富尼耶, 8.7 ,254, 9787210096177, 128.00元
这里,[美] 理查德・麦奎尔, 9.0 ,978, 9787559605924, 138.00元
创造自然,[德] 安德烈娅・武尔夫, 9.1 ,309, 9787213083426, 88.00元
论巴赫,[德] 阿尔伯特・施韦泽, 9.6 ,147, 9787567540873, 188
荒野之歌,[英] 罗莎蒙德・基德曼・考克斯, 9.5 ,592, 9787559602619, 180.00元
邻人,[美] 杨・T.格罗斯, 8.8 ,347, 9787511733436, 48.00
未知大学,作者不详, 9.1 ,290, 9787208139411, 168.00
寂寞的游戏,作者不详, 8.7 ,647, 9787559604170, 38.00元
最接近生活的事物,蒋怡, 9.0 ,248, 9787564929497, 28.00
众声,郭玉洁, 8.2 ,379, 9787020120710, 39.00
在唐诗里孤独漫步套装,夏昆, 8.9 ,88, 9787545912203, 79.00
恰到好处的亲密,[美] 基拉・阿萨特里安（Kira Asatryan）, 8.4 ,82, 9787510460692, 39.80元
不忍细看的大汉史,墨竹, 7.0 ,110, 9787516811672, 39.8
仙路争锋1,作者不详, 7.2 ,65, 9787556805181, CNY 28.00
不忍细看的大明史,墨竹, 7.3 ,84, 9787516811733, 39.8
《布局》,何森, 9.5 ,69, 9787506089401, 40.00元
青春里那些隐秘而伟大的小事,青杏, 8.1 ,104, 9787550286528, CNY 32.80
非常罪  非常美,作者不详, 8.0 ,104, 9787547310335, 39元
你要相信，最好的总会到来,判答, 7.8 ,68, 9787550289420
画中的日记：尼泊尔,罗一丁, 7.8 ,63, 9787807681663, 58.00元
愿你的道路漫长,作者不详, 7.7 ,1087, 9787567503496, 29.80元
短歌行,锺文音, 8.5 ,69, 9787513311496, 38.00元
学以为己,李弘祺, 8.0 ,23, 9787567532656, CNY 160.00
乳房,[美] 弗洛伦斯・威廉姆斯, 8.7 ,109, 9787567557338, 49.8
帕慕克们怎样读书,方柏林（南桥）, 8.3 ,29, 9787567550421, 36
音乐神童加工厂,伊莎贝拉.瓦格纳, 8.9 ,86, 9787567522121, 59.8
给无价的孩子定价,维维安娜・泽利泽（Viviana A. Zelizer）,  ,评价人数不足, 9787567570047, 55
代表作和被代表作,作者不详, 7.5 ,1067, 9787567508743, CNY 29.80
及格主义,方柏林, 8.7 ,41, 9787567507920, 29.80元
排队,[美] 奥尔加・格鲁辛, 8.5 ,90, 9787540778750, 39.00元
彼得・布鲁克访谈录：1970-2000,[美] 玛格丽特・克劳登, 9.0 ,19, 9787508666051, 45.00元
少数人的恐惧,[印] 拉纳吉特・古哈 (等), 8.9 ,15, 9787100140676, 48.00元
自由的忠诚,[美] 安娜・史蒂茨, 9.1 ,15, 9787511733283, 48.00元
世外桃源,[美] 劳伦・格罗夫, 9.1 ,20, 9787540778545, 48.00元
烈士精神与批判意识,张灏, 8.4 ,13, 9787511727329, 40.00元
朝服,[美] 菲利普・博比特, 8.1 ,39, 9787100126984, 48.00元
未来必须节制,[德] 沃尔夫冈・朔伊布勒,  ,评价人数不足, 9787100146661, 45.00
战士的荣耀,[加拿大] 叶礼庭, 8.7 ,20, 9787511733665, 38.00元
梁启超与中国思想的过渡：1890-1907,[美]张灏, 8.8 ,17, 9787511729996, 42.00元
人文主义与民主批评,[美] 爱德华・W.萨义德, 9.5 ,13, 9787511733122
平原上的摩西,作者不详, 8.5 ,2003, 9787530669624, 39.50元
我坐在火山的最边缘,作者不详, 8.6 ,264, 9787564923112, 36.00
翅鬼,作者不详, 7.4 ,68, 9787531342281, 19.80元
无影人,作者不详, 7.5 ,170, 9787530669938, 39.50元
小说机杼,黄远帆, 9.0 ,671, 9787564919771, 28.00元
繁花,作者不详, 8.8 ,10155, 9787532148004, CNY 48.00
小说课,作者不详, 8.6 ,1867, 9787020122738, 38.00
天吾手记,作者不详, 7.8 ,136, 9787536079106, 35.00元
聋哑时代,作者不详, 8.5 ,501, 9787530215852, 28.00元
小城故事,作者不详, 7.7 ,602, 9787542642318, 28.00
伦奎斯特谈最高法院,[美] 威廉・哈布斯・伦奎斯特, 7.8 ,16, 9787542647559, 39.00元
从记忆的深渠,[巴拉圭]芮内・斐列,  ,评价人数不足
亡灵书,[英]雷蒙德・福克纳, 7.3 ,33, 9787212059088, 88.00元
我亲爱的精神病患者,作者不详, 8.0 ,384, 9787511341389, CNY 28.00
重构文艺机制与文艺范式,杜英, 7.6 ,12, 9787542636768, 36.00元
誓言,于霄, 8.3 ,95, 9787542642370, 48.00元
小故事,作者不详, 7.8 ,14, 9787108050144, 39.00
我知道笼中鸟为何歌唱,于霄, 8.4 ,224, 9787542641342, 35.00
微小的命运,作者不详, 7.9 ,429, 9787545912050, 36.00元
再见，我思念如初的人,杨朵轶, 6.7 ,29, 9787545911282, 36.00元
罪案现场:你所不知道的刑侦1,徐龙震, 7.5 ,62, 9787544282307, 36.00元
没有到达不了的梦想，只要你敢死磕,作者不详, 4.6 ,13, 9787550265271, 32.00
入戏的规矩,林海, 7.0 ,16, 9787545910957, 38.00元
林中城堡,金绍禹, 7.6 ,12, 9787539981079, 42.00
躲在迪士尼里的童年,[美] 罗恩・萨斯坎德, 7.1 ,11, 9787545911923, 48.00元
郭尔罗斯铁血队,王永奇,  ,评价人数不足, 9787513038249, 28
戴上手套擦泪,[瑞典] 乔纳斯・嘉德尔, 8.0 ,1365, 9787552701951, 38
